tag,delta,mwu
TSS_454.2,-0.16155444444444444,0.0
TSS_997,-0.16142333333333334,0.0
TSS_529.1,-0.16126,0.0
TSS_606,-0.16120888888888887,0.0
TSS_18.1,-0.16084222222222222,0.0
TSS_6,-0.16079888888888888,0.0
TSS_896.3,-0.16058666666666668,0.0
TSS_877.1,-0.16033444444444445,0.0
TSS_1002,-0.16022555555555557,0.0
TSS_582,-0.15994555555555556,0.0
TSS_28,-0.15991777777777777,0.0
TSS_1056.1,-0.15952444444444447,0.0
TSS_465.1,-0.15939777777777778,0.0
TSS_841,-0.15924444444444444,0.0
TSS_334.1,-0.15910999999999997,0.0
TSS_174,-0.15884222222222222,0.0
TSS_750.1,-0.15878555555555554,0.0
TSS_135,-0.15845777777777778,0.0
TSS_654,-0.15805666666666665,0.0
TSS_60,-0.15799444444444444,0.0
TSS_989.1,-0.15771555555555555,0.0
TSS_761,-0.15762888888888887,0.0
TSS_444.1,-0.15754111111111113,0.0
TSS_102,-0.1575011111111111,0.0
TSS_807,-0.15730666666666665,0.0
